"","Spelling","wlen","FreqCount","LogFreq(Zipf)","CD","DomPoS","DomPoSLemma","Spell_check","Hyphen","Double_word_entry"
"6558","former",6,20092,4.999,0.237,"adjective","former","UKUS",0,NA
"6559","issues",6,20088,4.999,0.196,"noun","issue","UKUS",0,NA
"6560","period",6,19953,4.996,0.24,"noun","period","UKUS",0,NA
"6561","asking",6,19571,4.987,0.278,"verb","ask","UKUS",0,NA
"6562","player",6,19548,4.987,0.147,"noun","player","UKUS",0,NA
"6563","policy",6,19355,4.983,0.144,"noun","policy","UKUS",0,NA
"6564","honest",6,19170,4.978,0.258,"adjective","honest","UKUS",0,NA
"6565","profit",6,19086,4.976,0.087,"noun","profit","UKUS",0,NA
"6566","series",6,18894,4.972,0.224,"noun","series","UKUS",0,NA
"6567","league",6,18860,4.971,0.114,"name","league","UKUS",0,NA
"6568","social",6,18768,4.969,0.191,"adjective","social","UKUS",0,NA
"6569","follow",6,18563,4.964,0.276,"verb","follow","UKUS",0,NA
"6570","island",6,18560,4.964,0.127,"noun","island","UKUS",0,NA
"6571","caught",6,18351,4.959,0.258,"verb","catch","UKUS",0,NA
"6572","corner",6,18338,4.959,0.219,"noun","corner","UKUS",0,NA
"6573","create",6,18072,4.953,0.235,"verb","create","UKUS",0,NA
"6574","thinks",6,17816,4.947,0.255,"verb","think","UKUS",0,NA
"6575","sector",6,17779,4.946,0.103,"noun","sector","UKUS",0,NA
"6576","charge",6,17597,4.941,0.234,"noun","charge","UKUS",0,NA
"6577","battle",6,17431,4.937,0.21,"noun","battle","UKUS",0,NA
"6578","e-mail",6,17356,4.935,0.346,"noun","e-mail","UK",1,NA
"6579","decide",6,17304,4.934,0.243,"verb","decide","UKUS",0,NA
"6580","secret",6,17239,4.932,0.203,"adjective","secret","UKUS",0,NA
"6581","animal",6,17205,4.931,0.141,"noun","animal","UKUS",0,NA
"6582","debate",6,16934,4.925,0.127,"noun","debate","UKUS",0,NA
"6583","choose",6,16583,4.915,0.222,"verb","choose","UKUS",0,NA
"6584","france",6,16495,4.913,0.151,"name","france","X",0,NA
"6585","higher",6,16489,4.913,0.21,"adjective","higher","UKUS",0,NA
"6586","member",6,16396,4.911,0.199,"noun","member","UKUS",0,NA
"6587","simply",6,16386,4.91,0.237,"adverb","simply","UKUS",0,NA
"6588","return",6,16362,4.91,0.231,"noun","return","UKUS",0,NA
"6589","normal",6,16247,4.907,0.225,"adjective","normal","UKUS",0,NA
"6590","sister",6,16207,4.905,0.167,"noun","sister","UKUS",0,NA
"6591","growth",6,16202,4.905,0.113,"noun","growth","UKUS",0,NA
"6592","attack",6,15860,4.896,0.183,"noun","attack","UKUS",0,NA
"6593","starts",6,15810,4.895,0.23,"verb","start","UKUS",0,NA
"6594","winner",6,15548,4.887,0.174,"noun","winner","UKUS",0,NA
"6595","proper",6,15399,4.883,0.219,"adjective","proper","UKUS",0,NA
"6596","houses",6,15344,4.882,0.163,"noun","house","UKUS",0,NA
"6597","sunday",6,15260,4.879,0.174,"name","sunday","UKUS",0,"sun day"
"6598","martin",6,15247,4.879,0.099,"name","martin","UKUS",0,NA
"6599","figure",6,15076,4.874,0.207,"noun","figure","UKUS",0,NA
"6600","pieces",6,15044,4.873,0.176,"noun","piece","UKUS",0,NA
"6601","likely",6,15008,4.872,0.223,"adjective","likely","UKUS",0,NA
"6602","seemed",6,14943,4.87,0.211,"verb","seem","UKUS",0,NA
"6603","andrew",6,14860,4.868,0.102,"name","andrew","X",0,NA
"6604","crisis",6,14583,4.86,0.136,"noun","crisis","UKUS",0,NA
"6605","excuse",6,14550,4.859,0.179,"noun","excuse","UKUS",0,NA
"6606","broken",6,14537,4.858,0.203,"verb","break","UKUS",0,NA
"6607","missed",6,14470,4.856,0.189,"verb","miss","UKUS",0,NA
"6608","impact",6,14359,4.853,0.182,"noun","impact","UKUS",0,NA
"6609","africa",6,14342,4.852,0.117,"name","africa","X",0,NA
"6610","letter",6,14340,4.852,0.148,"noun","letter","UKUS",0,NA
"6611","advice",6,14193,4.848,0.18,"noun","advice","UKUS",0,NA
"6612","career",6,14189,4.848,0.183,"noun","career","UKUS",0,NA
"6613","safety",6,14142,4.846,0.157,"noun","safety","UKUS",0,NA
"6614","yellow",6,14006,4.842,0.128,"adjective","yellow","UKUS",0,NA
"6615","effect",6,13882,4.838,0.202,"noun","effect","UKUS",0,NA
"6616","window",6,13791,4.835,0.171,"noun","window","UKUS",0,NA
"6617","camera",6,13767,4.835,0.144,"noun","camera","UKUS",0,NA
"6618","nature",6,13594,4.829,0.18,"noun","nature","UKUS",0,NA
"6619","joined",6,13568,4.828,0.204,"verb","join","UKUS",0,NA
"6620","accept",6,13560,4.828,0.178,"verb","accept","UKUS",0,NA
"6621","winter",6,13508,4.826,0.138,"noun","winter","UKUS",0,NA
"6622","common",6,13410,4.823,0.192,"adjective","common","UKUS",0,NA
"6623","eating",6,13372,4.822,0.165,"verb","eat","UKUS",0,NA
"6624","latest",6,13356,4.821,0.198,"adjective","latest","UKUS",0,NA
"6625","travel",6,13319,4.82,0.179,"verb","travel","UKUS",0,NA
"6626","bright",6,13304,4.82,0.19,"adjective","bright","UKUS",0,NA
"6627","flying",6,13266,4.819,0.16,"verb","fly","UKUS",0,NA
"6628","paying",6,13228,4.817,0.172,"verb","pay","UKUS",0,NA
"6629","picked",6,13228,4.817,0.206,"verb","pick","UKUS",0,NA
"6630","weight",6,13212,4.817,0.16,"noun","weight","UKUS",0,NA
"6631","helped",6,13172,4.815,0.211,"verb","help","UKUS",0,NA
"6632","states",6,13170,4.815,0.139,"name","states","UKUS",0,NA
"6633","prison",6,13110,4.813,0.112,"noun","prison","UKUS",0,NA
"6634","forces",6,13106,4.813,0.128,"noun","force","UKUS",0,NA
"6635","damage",6,13084,4.813,0.171,"noun","damage","UKUS",0,NA
"6636","scared",6,13053,4.811,0.161,"verb","scare","UKUS",0,NA
"6637","target",6,13050,4.811,0.147,"noun","target","UKUS",0,NA
"6638","search",6,12987,4.809,0.158,"noun","search","UKUS",0,NA
"6639","leaves",6,12957,4.808,0.177,"verb","leave","UKUS",0,NA
"6640","losing",6,12933,4.807,0.193,"verb","lose","UKUS",0,NA
"6641","cheese",6,12928,4.807,0.089,"noun","cheese","UKUS",0,NA
"6642","friday",6,12827,4.804,0.166,"name","friday","UKUS",0,NA
"6643","metres",6,12695,4.799,0.104,"noun","metre","UK",0,NA
"6644","closer",6,12682,4.799,0.196,"adjective","closer","UKUS",0,NA
"6645","region",6,12309,4.786,0.138,"noun","region","UKUS",0,NA
"6646","skills",6,12291,4.785,0.157,"noun","skill","UKUS",0,NA
"6647","stupid",6,12251,4.784,0.151,"adjective","stupid","UKUS",0,NA
"6648","studio",6,12229,4.783,0.148,"noun","studio","UKUS",0,NA
"6649","square",6,12140,4.78,0.151,"noun","square","UKUS",0,NA
"6650","reckon",6,12133,4.78,0.161,"verb","reckon","UKUS",0,NA
"6651","buying",6,12109,4.779,0.149,"verb","buy","UKUS",0,NA
"6652","unless",6,12066,4.777,0.203,"preposition","unless","UKUS",0,NA
"6653","thomas",6,11941,4.773,0.085,"name","thomas","X",0,NA
"6654","beyond",6,11893,4.771,0.186,"preposition","beyond","UKUS",0,NA
"6655","agreed",6,11884,4.771,0.178,"verb","agree","UKUS",0,NA
"6656","dinner",6,11872,4.77,0.146,"noun","dinner","UKUS",0,NA
"6657","county",6,11811,4.768,0.117,"noun","county","UKUS",0,NA
"6658","estate",6,11796,4.768,0.1,"noun","estate","UKUS",0,NA
"6659","reveal",6,11778,4.767,0.13,"verb","reveal","UKUS",0,NA
"6660","pounds",6,11748,4.766,0.16,"noun","pound","UKUS",0,NA
"6661","passed",6,11745,4.766,0.182,"verb","pass","UKUS",0,NA
"6662","scored",6,11728,4.765,0.071,"verb","score","UKUS",0,NA
"6663","effort",6,11724,4.765,0.171,"noun","effort","UKUS",0,NA
"6664","surely",6,11715,4.765,0.176,"adverb","surely","UKUS",0,NA
"6665","rights",6,11714,4.764,0.11,"noun","rights","UKUS",0,NA
"6666","events",6,11708,4.764,0.156,"noun","event","UKUS",0,NA
"6667","design",6,11699,4.764,0.119,"noun","design","UKUS",0,NA
"6668","nation",6,11680,4.763,0.145,"noun","nation","UKUS",0,NA
"6669","afford",6,11671,4.763,0.166,"verb","afford","UKUS",0,NA
"6670","german",6,11670,4.763,0.104,"adjective","german","X",0,NA
"6671","robert",6,11597,4.76,0.094,"name","robert","X",0,NA
"6672","failed",6,11534,4.758,0.167,"verb","fail","UKUS",0,NA
"6673","master",6,11496,4.756,0.125,"noun","master","UKUS",0,NA
"6674","credit",6,11495,4.756,0.13,"noun","credit","UKUS",0,NA
"6675","opened",6,11495,4.756,0.184,"verb","open","UKUS",0,NA
"6676","recent",6,11464,4.755,0.177,"adjective","recent","UKUS",0,NA
"6677","danger",6,11370,4.752,0.165,"noun","danger","UKUS",0,NA
"6678","easier",6,11334,4.75,0.184,"adjective","easier","UKUS",0,NA
"6679","access",6,11333,4.75,0.148,"noun","access","UKUS",0,NA
"6680","raised",6,11287,4.748,0.167,"verb","raise","UKUS",0,NA
"6681","fairly",6,11282,4.748,0.176,"adverb","fairly","UKUS",0,NA
"6682","gordon",6,11281,4.748,0.078,"name","gordon","X",0,NA
"6683","prince",6,10946,4.735,0.091,"name","prince","UKUS",0,NA
"6684","plants",6,10889,4.733,0.074,"noun","plant","UKUS",0,NA
"6685","expert",6,10871,4.732,0.156,"noun","expert","UKUS",0,NA
"6686","strike",6,10785,4.729,0.117,"noun","strike","UKUS",0,NA
"6687","cooked",6,10743,4.727,0.059,"verb","cook","UKUS",0,NA
"6688","ensure",6,10624,4.722,0.123,"verb","ensure","UKUS",0,NA
"6689","talked",6,10613,4.722,0.165,"verb","talk","UKUS",0,NA
"6690","speech",6,10579,4.72,0.101,"noun","speech","UKUS",0,NA
"6691","entire",6,10557,4.719,0.171,"adjective","entire","UKUS",0,NA
"6692","review",6,10531,4.718,0.101,"noun","review","UKUS",0,NA
"6693","showed",6,10510,4.717,0.171,"verb","show","UKUS",0,NA
"6694","prices",6,10454,4.715,0.108,"noun","price","UKUS",0,NA
"6695","notice",6,10418,4.714,0.169,"verb","notice","UKUS",0,NA
"6696","artist",6,10332,4.71,0.101,"noun","artist","UKUS",0,NA
"6697","driver",6,10301,4.709,0.1,"noun","driver","UKUS",0,NA
"6698","clever",6,10291,4.708,0.155,"adjective","clever","UKUS",0,NA
"6699","bridge",6,10264,4.707,0.098,"noun","bridge","UKUS",0,NA
"6700","caused",6,10128,4.701,0.161,"verb","cause","UKUS",0,NA
"6701","murder",6,10035,4.697,0.097,"noun","murder","UKUS",0,NA
"6702","easily",6,9943,4.693,0.169,"adverb","easily","UKUS",0,NA
"6703","closed",6,9941,4.693,0.157,"verb","close","UKUS",0,NA
"6704","scheme",6,9858,4.69,0.102,"noun","scheme","UKUS",0,NA
"6705","favour",6,9812,4.688,0.147,"noun","favour","UK",0,NA
"6706","spring",6,9765,4.685,0.122,"noun","spring","UKUS",0,NA
"6707","castle",6,9715,4.683,0.078,"noun","castle","UKUS",0,NA
"6708","butter",6,9674,4.681,0.059,"noun","butter","UKUS",0,NA
"6709","lights",6,9624,4.679,0.12,"noun","light","UKUS",0,NA
"6710","harder",6,9602,4.678,0.152,"adjective","harder","UKUS",0,NA
"6711","horses",6,9593,4.678,0.074,"noun","horse","UKUS",0,NA
"6712","rescue",6,9568,4.677,0.101,"noun","rescue","UKUS",0,NA
"6713","walked",6,9530,4.675,0.149,"verb","walk","UKUS",0,NA
"6714","judges",6,9524,4.675,0.058,"noun","judge","UKUS",0,NA
"6715","facing",6,9455,4.671,0.152,"verb","face","UKUS",0,NA
"6716","female",6,9439,4.671,0.112,"adjective","female","UKUS",0,NA
"6717","forest",6,9388,4.668,0.073,"noun","forest","UKUS",0,NA
"6718","beauty",6,9346,4.666,0.128,"noun","beauty","UKUS",0,NA
"6719","cheers",6,9323,4.665,0.118,"name","cheers","UKUS",0,NA
"6720","escape",6,9296,4.664,0.122,"verb","escape","UKUS",0,NA
"6721","remain",6,9284,4.664,0.157,"verb","remain","UKUS",0,NA
"6722","signed",6,9261,4.662,0.129,"verb","sign","UKUS",0,NA
"6723","powers",6,9246,4.662,0.096,"noun","power","UKUS",0,NA
"6724","bloody",6,9221,4.661,0.089,"adjective","bloody","UKUS",0,NA
"6725","unique",6,9219,4.66,0.142,"adjective","unique","UKUS",0,NA
"6726","planet",6,9209,4.66,0.094,"noun","planet","UKUS",0,NA
"6727","hammer",6,9185,4.659,0.066,"noun","hammer","UKUS",0,NA
"6728","spirit",6,9171,4.658,0.128,"noun","spirit","UKUS",0,NA
"6729","coffee",6,9060,4.653,0.101,"noun","coffee","UKUS",0,NA
"6730","threat",6,9039,4.652,0.127,"noun","threat","UKUS",0,NA
"6731","sports",6,8988,4.649,0.11,"noun","sport","UKUS",0,NA
"6732","greece",6,8964,4.648,0.057,"name","greece","X",0,NA
"6733","levels",6,8910,4.646,0.129,"noun","level","UKUS",0,NA
"6734","ulster",6,8904,4.645,0.022,"name","ulster","X",0,NA
"6735","bottle",6,8898,4.645,0.102,"noun","bottle","UKUS",0,NA
"6736","orange",6,8886,4.644,0.092,"noun","orange","UKUS",0,NA
"6737","groups",6,8880,4.644,0.119,"noun","group","UKUS",0,NA
"6738","relief",6,8871,4.644,0.109,"noun","relief","UKUS",0,NA
"6739","except",6,8815,4.641,0.155,"preposition","except","UKUS",0,NA
"6740","forced",6,8770,4.639,0.142,"verb","force","UKUS",0,NA
