"","Spelling","wlen","FreqCount","LogFreq(Zipf)","CD","DomPoS","DomPoSLemma","Spell_check","Hyphen","Double_word_entry"
"20154","harvesting",10,538,3.427,0.009,"verb","harvest","UKUS",0,NA
"20155","reconsider",10,538,3.427,0.011,"verb","reconsider","UKUS",0,NA
"20156","capitalise",10,537,3.427,0.011,"verb","capitalise","UK",0,NA
"20157","sutherland",10,536,3.426,0.006,"name","sutherland","X",0,NA
"20158","stronghold",10,533,3.423,0.009,"noun","stronghold","UKUS",0,"strong hold"
"20159","horizontal",10,533,3.423,0.009,"adjective","horizontal","UKUS",0,NA
"20160","belongings",10,532,3.422,0.01,"noun","belongings","UKUS",0,NA
"20161","astonished",10,531,3.422,0.011,"verb","astonish","UKUS",0,NA
"20162","hysterical",10,530,3.421,0.01,"adjective","hysterical","UKUS",0,NA
"20163","spectacles",10,529,3.42,0.009,"noun","spectacles","UKUS",0,NA
"20164","navigation",10,528,3.419,0.008,"noun","navigation","UKUS",0,NA
"20165","variations",10,528,3.419,0.01,"noun","variation","UKUS",0,NA
"20166","pronounced",10,527,3.418,0.011,"verb","pronounce","UKUS",0,NA
"20167","cunningham",10,527,3.418,0.005,"name","cunningham","X",0,NA
"20168","identities",10,526,3.418,0.009,"noun","identity","UKUS",0,NA
"20169","sacrificed",10,526,3.418,0.01,"verb","sacrifice","UKUS",0,NA
"20170","playwright",10,525,3.417,0.009,"noun","playwright","UKUS",0,"play wright"
"20171","dishwasher",10,524,3.416,0.007,"noun","dishwasher","UKUS",0,"dish washer"
"20172","fulfilling",10,524,3.416,0.011,"verb","fulfil","UKUS",0,NA
"20173","complement",10,523,3.415,0.011,"verb","complement","UKUS",0,NA
"20174","delegation",10,523,3.415,0.009,"noun","delegation","UKUS",0,NA
"20175","nomination",10,523,3.415,0.009,"noun","nomination","UKUS",0,NA
"20176","attachment",10,519,3.412,0.01,"noun","attachment","UKUS",0,NA
"20177","criticisms",10,518,3.411,0.01,"noun","criticism","UKUS",0,NA
"20178","supervisor",10,517,3.41,0.009,"noun","supervisor","UKUS",0,"super visor"
"20179","home-grown",10,517,3.41,0.01,"adjective","home-grown","UK",1,"home grown"
"20180","reinforced",10,516,3.409,0.01,"verb","reinforce","UKUS",0,NA
"20181","richardson",10,516,3.409,0.007,"name","richardson","X",0,NA
"20182","expectancy",10,515,3.408,0.009,"noun","expectancy","UKUS",0,NA
"20183","assignment",10,514,3.408,0.008,"noun","assignment","UKUS",0,NA
"20184","infectious",10,513,3.407,0.009,"adjective","infectious","UKUS",0,NA
"20185","wordsworth",10,513,3.407,0.006,"name","wordsworth","X",0,NA
"20186","humiliated",10,512,3.406,0.01,"verb","humiliate","UKUS",0,NA
"20187","admissions",10,511,3.405,0.009,"noun","admission","UKUS",0,NA
"20188","repertoire",10,509,3.403,0.008,"noun","repertoire","UKUS",0,NA
"20189","wainwright",10,506,3.401,0.002,"name","wainwright","X",0,NA
"20190","in-between",10,506,3.401,0.009,"adjective","in-between","UK",1,"in between"
"20191","recordings",10,505,3.4,0.008,"noun","recording","UKUS",0,NA
"20192","satellites",10,504,3.399,0.006,"noun","satellite","UKUS",0,NA
"20193","fireplaces",10,502,3.397,0.008,"noun","fireplace","UKUS",0,"fire places"
"20194","centigrade",10,502,3.397,0.008,"noun","centigrade","UKUS",0,NA
"20195","persuasion",10,501,3.396,0.01,"noun","persuasion","UKUS",0,NA
"20196","midfielder",10,500,3.396,0.009,"noun","midfielder","UKUS",0,"mid fielder"
"20197","overturned",10,500,3.396,0.009,"verb","overturn","UKUS",0,"over turned"
"20198","well-being",10,500,3.396,0.009,"noun","well-being","UK",1,"well being"
"20199","technician",10,499,3.395,0.009,"noun","technician","UKUS",0,NA
"20200","semifinals",10,499,3.395,0.005,"noun","semifinal","US",0,"semi finals"
"20201","translates",10,495,3.391,0.01,"verb","translate","UKUS",0,NA
"20202","peacefully",10,492,3.389,0.009,"adverb","peacefully","UKUS",0,NA
"20203","kensington",10,492,3.389,0.008,"name","kensington","X",0,NA
"20204","harassment",10,491,3.388,0.008,"noun","harassment","UKUS",0,NA
"20205","objections",10,491,3.388,0.009,"noun","objection","UKUS",0,NA
"20206","best-known",10,491,3.388,0.01,"adjective","best-known","UK",1,"best known"
"20207","skateboard",10,489,3.386,0.005,"noun","skateboard","UKUS",0,NA
"20208","bitterness",10,488,3.385,0.009,"noun","bitterness","UKUS",0,NA
"20209","guantanamo",10,488,3.385,0.004,"name","guantanamo","X",0,NA
"20210","prioritise",10,487,3.384,0.01,"verb","prioritise","UK",0,NA
"20211","racecourse",10,486,3.383,0.007,"noun","racecourse","UKUS",0,"race course"
"20212","telescopes",10,486,3.383,0.004,"noun","telescope","UKUS",0,NA
"20213","unbearable",10,485,3.382,0.01,"adjective","unbearable","UKUS",0,NA
"20214","glittering",10,484,3.381,0.01,"verb","glitter","UKUS",0,NA
"20215","o'driscoll",10,484,3.381,0.003,"name","o'driscoll","X",0,NA
"20216","ambulances",10,483,3.381,0.007,"noun","ambulance","UKUS",0,NA
"20217","contracted",10,483,3.381,0.01,"verb","contract","UKUS",0,NA
"20218","favourable",10,482,3.38,0.01,"adjective","favourable","UK",0,NA
"20219","specialise",10,482,3.38,0.01,"verb","specialise","UK",0,NA
"20220","accelerate",10,482,3.38,0.009,"verb","accelerate","UKUS",0,NA
"20221","accrington",10,481,3.379,0.005,"name","accrington","X",0,NA
"20222","manipulate",10,479,3.377,0.009,"verb","manipulate","UKUS",0,NA
"20223","first-hand",10,479,3.377,0.01,"adjective","first-hand","UK",1,"first hand"
"20224","manuscript",10,478,3.376,0.006,"noun","manuscript","UKUS",0,NA
"20225","indicating",10,477,3.375,0.01,"verb","indicate","UKUS",0,NA
"20226","adaptation",10,476,3.374,0.009,"noun","adaptation","UKUS",0,NA
"20227","distinctly",10,476,3.374,0.01,"adverb","distinctly","UKUS",0,NA
"20228","paedophile",10,475,3.373,0.006,"noun","paedophile","UK",0,NA
"20229","submarines",10,475,3.373,0.006,"noun","submarine","UKUS",0,NA
"20230","vietnamese",10,475,3.373,0.004,"adjective","vietnamese","X",0,NA
"20231","adventurer",10,474,3.372,0.006,"noun","adventurer","UKUS",0,NA
"20232","legitimacy",10,474,3.372,0.008,"noun","legitimacy","UKUS",0,NA
"20233","insurgents",10,473,3.372,0.006,"noun","insurgent","UKUS",0,NA
"20234","articulate",10,472,3.371,0.009,"verb","articulate","UKUS",0,NA
"20235","strasbourg",10,472,3.371,0.005,"name","strasbourg","X",0,NA
"20236","positional",10,471,3.37,0.004,"adjective","positional","UKUS",0,NA
"20237","hutchinson",10,470,3.369,0.003,"name","hutchinson","X",0,NA
"20238","deflection",10,468,3.367,0.007,"noun","deflection","UKUS",0,NA
"20239","bargaining",10,466,3.365,0.008,"noun","bargaining","UKUS",0,NA
"20240","fertiliser",10,464,3.363,0.007,"noun","fertiliser","UK",0,NA
"20241","geological",10,464,3.363,0.007,"adjective","geological","UKUS",0,NA
"20242","insurgency",10,463,3.362,0.006,"noun","insurgency","UKUS",0,NA
"20243","achievable",10,462,3.361,0.009,"adjective","achievable","UKUS",0,NA
"20244","blacksmith",10,462,3.361,0.005,"noun","blacksmith","UKUS",0,NA
"20245","number-one",10,462,3.361,0.008,"adjective","number-one","UK",1,"number one"
"20246","disrespect",10,460,3.359,0.009,"noun","disrespect","UKUS",0,NA
"20247","invincible",10,459,3.358,0.007,"adjective","invincible","UKUS",0,NA
"20248","plastering",10,459,3.358,0.006,"noun","plastering","UKUS",0,NA
"20249","fairground",10,458,3.358,0.006,"noun","fairground","UKUS",0,"fair ground"
"20250","soundtrack",10,458,3.358,0.008,"noun","soundtrack","UKUS",0,"sound track"
"20251","diminished",10,457,3.357,0.009,"verb","diminish","UKUS",0,NA
"20252","percussion",10,457,3.357,0.006,"noun","percussion","UKUS",0,NA
"20253","precarious",10,457,3.357,0.009,"adjective","precarious","UKUS",0,NA
"20254","prosecutor",10,457,3.357,0.006,"noun","prosecutor","UKUS",0,NA
"20255","purchasing",10,456,3.356,0.009,"verb","purchase","UKUS",0,NA
"20256","ornamental",10,455,3.355,0.008,"adjective","ornamental","UKUS",0,NA
"20257","toothpaste",10,455,3.355,0.007,"noun","toothpaste","UKUS",0,NA
"20258","undergoing",10,454,3.354,0.01,"verb","undergo","UKUS",0,"under going"
"20259","grassroots",10,453,3.353,0.008,"noun","grassroot","UKUS",0,"grass roots"
"20260","shortbread",10,453,3.353,0.004,"noun","shortbread","UKUS",0,"short bread"
"20261","relaxation",10,452,3.352,0.009,"noun","relaxation","UKUS",0,NA
"20262","fitzgerald",10,452,3.352,0.005,"name","fitzgerald","X",0,NA
"20263","wrongdoing",10,451,3.351,0.008,"noun","wrongdoing","UKUS",0,"wrong doing"
"20264","al-megrahi",10,451,3.351,0.003,"noun","al-megrahi","X",1,"al megrahi"
"20265","safeguards",10,450,3.35,0.007,"noun","safeguard","UKUS",0,"safe guards"
"20266","runners-up",10,450,3.35,0.008,"noun","runners-up","UK",1,"runners up"
"20267","three-year",10,450,3.35,0.009,"adjective","three-year","UK",1,"three year"
"20268","restrained",10,449,3.349,0.009,"verb","restrain","UKUS",0,NA
"20269","equestrian",10,447,3.347,0.006,"adjective","equestrian","UKUS",0,NA
"20270","structured",10,447,3.347,0.009,"verb","structure","UKUS",0,NA
"20271","supplement",10,447,3.347,0.008,"verb","supplement","UKUS",0,NA
"20272","schoolgirl",10,446,3.346,0.008,"noun","schoolgirl","UKUS",0,"school girl"
"20273","silverware",10,446,3.346,0.007,"noun","silverware","UKUS",0,"silver ware"
"20274","homosexual",10,445,3.345,0.006,"adjective","homosexual","UKUS",0,"homo sexual"
"20275","adjustment",10,445,3.345,0.009,"noun","adjustment","UKUS",0,NA
"20276","respectful",10,444,3.344,0.009,"adjective","respectful","UKUS",0,NA
"20277","competence",10,442,3.342,0.007,"noun","competence","UKUS",0,NA
"20278","resentment",10,441,3.341,0.009,"noun","resentment","UKUS",0,NA
"20279","noticeable",10,440,3.34,0.009,"adjective","noticeable","UKUS",0,NA
"20280","princesses",10,436,3.336,0.005,"noun","princess","UKUS",0,NA
"20281","double-dip",10,435,3.335,0.007,"adjective","double-dip","UK",1,"double dip"
"20282","deployment",10,434,3.334,0.007,"noun","deployment","UKUS",0,NA
"20283","extremists",10,434,3.334,0.007,"noun","extremist","UKUS",0,NA
"20284","unfamiliar",10,432,3.332,0.009,"adjective","unfamiliar","UKUS",0,NA
"20285","locomotive",10,431,3.331,0.005,"adjective","locomotive","UKUS",0,NA
"20286","crossroads",10,430,3.33,0.007,"noun","crossroads","UKUS",0,"cross roads"
"20287","landowners",10,429,3.329,0.007,"noun","landowner","UKUS",0,"land owners"
"20288","counsellor",10,428,3.328,0.007,"noun","counsellor","UK",0,NA
"20289","minorities",10,428,3.328,0.007,"noun","minority","UKUS",0,NA
"20290","displaying",10,426,3.326,0.008,"verb","display","UKUS",0,NA
"20291","publishers",10,426,3.326,0.007,"noun","publisher","UKUS",0,NA
"20292","carmichael",10,425,3.325,0.004,"name","carmichael","X",0,NA
"20293","injections",10,424,3.324,0.006,"noun","injection","UKUS",0,NA
"20294","discomfort",10,423,3.323,0.009,"noun","discomfort","UKUS",0,NA
"20295","cricketers",10,422,3.322,0.007,"noun","cricketer","UKUS",0,NA
"20296","magistrate",10,421,3.321,0.006,"noun","magistrate","UKUS",0,NA
"20297","luxembourg",10,421,3.321,0.005,"name","luxembourg","X",0,NA
"20298","astounding",10,420,3.32,0.008,"adjective","astounding","UKUS",0,NA
"20299","wealthiest",10,420,3.32,0.008,"adjective","wealthiest","UKUS",0,NA
"20300","homeowners",10,419,3.319,0.007,"noun","homeowner","UKUS",0,"home owners"
"20301","autographs",10,419,3.319,0.006,"noun","autograph","UKUS",0,NA
"20302","discontent",10,419,3.319,0.008,"noun","discontent","UKUS",0,NA
"20303","distraught",10,419,3.319,0.009,"adjective","distraught","UKUS",0,NA
"20304","mozzarella",10,418,3.318,0.003,"noun","mozzarellum","UKUS",0,NA
"20305","chatsworth",10,417,3.317,0.003,"name","chatsworth","X",0,NA
"20306","overseeing",10,416,3.316,0.009,"verb","oversee","UKUS",0,"over seeing"
"20307","starvation",10,416,3.316,0.008,"noun","starvation","UKUS",0,NA
"20308","livelihood",10,415,3.315,0.008,"noun","livelihood","UKUS",0,NA
"20309","standstill",10,414,3.314,0.008,"noun","standstill","UKUS",0,"stand still"
"20310","facilitate",10,414,3.314,0.008,"verb","facilitate","UKUS",0,NA
"20311","witnessing",10,414,3.314,0.009,"verb","witness","UKUS",0,NA
"20312","disposable",10,413,3.313,0.007,"adjective","disposable","UKUS",0,NA
"20313","fraudsters",10,413,3.313,0.005,"noun","fraudster","UKUS",0,NA
"20314","widdecombe",10,413,3.313,0.005,"name","widdecombe","X",0,NA
"20315","illustrate",10,412,3.312,0.009,"verb","illustrate","UKUS",0,NA
"20316","boyfriends",10,411,3.311,0.008,"noun","boyfriend","UKUS",0,"boy friends"
"20317","superstars",10,411,3.311,0.007,"noun","superstar","UKUS",0,"super stars"
"20318","intervened",10,411,3.311,0.008,"verb","intervene","UKUS",0,NA
"20319","magnifying",10,411,3.311,0.006,"verb","magnify","UKUS",0,NA
"20320","volleyball",10,410,3.31,0.005,"noun","volleyball","UKUS",0,"volley ball"
"20321","applicants",10,410,3.31,0.008,"noun","applicant","UKUS",0,NA
"20322","capitalist",10,410,3.31,0.007,"adjective","capitalist","UKUS",0,NA
"20323","exploiting",10,410,3.31,0.008,"verb","exploit","UKUS",0,NA
"20324","priestland",10,410,3.31,0.002,"name","priestland","X",0,NA
"20325","redemption",10,409,3.309,0.007,"noun","redemption","UKUS",0,NA
"20326","kick-start",10,409,3.309,0.009,"verb","kick-start","UK",1,"kick start"
"20327","downgraded",10,406,3.305,0.007,"verb","downgrade","UKUS",0,"down graded"
"20328","continents",10,406,3.305,0.008,"noun","continent","UKUS",0,NA
"20329","superpower",10,405,3.304,0.006,"noun","superpower","UKUS",0,"super power"
"20330","reportedly",10,405,3.304,0.008,"adverb","reportedly","UKUS",0,NA
"20331","vocational",10,405,3.304,0.005,"adjective","vocational","UKUS",0,NA
"20332","re-elected",10,404,3.303,0.007,"verb","re-elected","UK",1,"re elected"
"20333","prescribed",10,402,3.301,0.007,"verb","prescribe","UKUS",0,NA
"20334","gobsmacked",10,401,3.3,0.008,"verb","gobsmack","UK",0,"gob smacked"
"20335","scattering",10,400,3.299,0.008,"noun","scattering","UKUS",0,NA
"20336","incapacity",10,399,3.298,0.004,"noun","incapacity","UKUS",0,NA
"20337","comparable",10,398,3.297,0.008,"adjective","comparable","UKUS",0,NA
"20338","constables",10,397,3.296,0.006,"noun","constable","UKUS",0,NA
"20339","defendants",10,397,3.296,0.006,"noun","defendant","UKUS",0,NA
"20340","descending",10,397,3.296,0.008,"verb","descend","UKUS",0,NA
"20341","courgettes",10,396,3.295,0.004,"noun","courgette","UK",0,NA
"20342","shopkeeper",10,396,3.295,0.006,"noun","shopkeeper","UKUS",0,"shop keeper"
"20343","tablespoon",10,396,3.295,0.006,"noun","tablespoon","UKUS",0,"table spoon"
"20344","allegiance",10,396,3.295,0.007,"noun","allegiance","UKUS",0,NA
"20345","confirming",10,396,3.295,0.008,"verb","confirm","UKUS",0,NA
"20346","essentials",10,396,3.295,0.008,"noun","essential","UKUS",0,NA
"20347","squiggling",10,396,3.295,0.001,"verb","squiggle","UKUS",0,NA
"20348","modernised",10,395,3.293,0.008,"verb","modernise","UK",0,NA
"20349","inflatable",10,395,3.293,0.007,"adjective","inflatable","UKUS",0,NA
"20350","dispatched",10,394,3.292,0.008,"verb","dispatch","UKUS",0,NA
"20351","pedestrian",10,394,3.292,0.007,"adjective","pedestrian","UKUS",0,NA
"20352","qualifiers",10,394,3.292,0.006,"noun","qualifier","UKUS",0,NA
"20353","distribute",10,393,3.291,0.008,"verb","distribute","UKUS",0,NA
"20354","substances",10,393,3.291,0.007,"noun","substance","UKUS",0,NA
"20355","veterinary",10,393,3.291,0.005,"adjective","veterinary","UKUS",0,NA
"20356","astronomer",10,392,3.29,0.005,"noun","astronomer","UKUS",0,NA
"20357","flattering",10,392,3.29,0.008,"adjective","flattering","UKUS",0,NA
"20358","torrential",10,391,3.289,0.007,"adjective","torrential","UKUS",0,NA
"20359","homecoming",10,390,3.288,0.006,"noun","homecoming","UKUS",0,"home coming"
"20360","accustomed",10,390,3.288,0.008,"verb","accustom","UKUS",0,NA
"20361","piccadilly",10,390,3.288,0.006,"name","piccadilly","X",0,NA
"20362","scrutinise",10,389,3.287,0.007,"verb","scrutinise","UK",0,NA
"20363","cathedrals",10,389,3.287,0.006,"noun","cathedral","UKUS",0,NA
"20364","companions",10,389,3.287,0.007,"noun","companion","UKUS",0,NA
"20365","synonymous",10,389,3.287,0.008,"adjective","synonymous","UKUS",0,NA
"20366","freshwater",10,388,3.286,0.006,"noun","freshwater","UKUS",0,"fresh water"
"20367","repetition",10,388,3.286,0.006,"noun","repetition","UKUS",0,NA
"20368","patrolling",10,387,3.285,0.008,"noun","patrolling","UKUS",0,NA
"20369","provincial",10,387,3.285,0.007,"adjective","provincial","UKUS",0,NA
"20370","centimetre",10,386,3.283,0.007,"noun","centimetre","UK",0,NA
"20371","calculator",10,386,3.283,0.006,"noun","calculator","UKUS",0,NA
"20372","contacting",10,386,3.283,0.008,"verb","contact","UKUS",0,NA
"20373","lifestyles",10,385,3.282,0.008,"noun","lifestyle","UKUS",0,"life styles"
"20374","smartphone",10,385,3.282,0.005,"noun","smartphone","UKUS",0,"smart phone"
"20375","burglaries",10,385,3.282,0.005,"noun","burglary","UKUS",0,NA
"20376","researched",10,385,3.282,0.008,"verb","research","UKUS",0,NA
"20377","unofficial",10,385,3.282,0.007,"adjective","unofficial","UKUS",0,NA
"20378","attributed",10,384,3.281,0.007,"verb","attribute","UKUS",0,NA
"20379","consortium",10,382,3.279,0.006,"noun","consortium","UKUS",0,NA
"20380","currencies",10,382,3.279,0.006,"noun","currency","UKUS",0,NA
"20381","persuasive",10,382,3.279,0.008,"adjective","persuasive","UKUS",0,NA
"20382","tactically",10,382,3.279,0.007,"adverb","tactically","UKUS",0,NA
"20383","sympathise",10,380,3.277,0.008,"verb","sympathise","UK",0,NA
"20384","fahrenheit",10,380,3.277,0.007,"noun","fahrenheit","X",0,NA
"20385","carmarthen",10,379,3.276,0.005,"name","carmarthen","X",0,NA
"20386","winstanley",10,379,3.276,0.001,"name","winstanley","X",0,NA
"20387","much-loved",10,379,3.276,0.008,"adjective","much-loved","UK",1,"much loved"
"20388","checkpoint",10,378,3.274,0.005,"noun","checkpoint","UKUS",0,"check point"
"20389","exceptions",10,378,3.274,0.008,"noun","exception","UKUS",0,NA
"20390","dependency",10,376,3.272,0.007,"noun","dependency","UKUS",0,NA
"20391","improvised",10,376,3.272,0.007,"verb","improvise","UKUS",0,NA
"20392","meticulous",10,376,3.272,0.008,"adjective","meticulous","UKUS",0,NA
"20393","wildebeest",10,376,3.272,0.003,"noun","wildebeest","UKUS",0,NA
"20394","caerphilly",10,376,3.272,0.005,"name","caerphilly","X",0,NA
"20395","scepticism",10,375,3.271,0.007,"noun","scepticism","UK",0,NA
"20396","meditation",10,375,3.271,0.005,"noun","meditation","UKUS",0,NA
"20397","respecting",10,375,3.271,0.008,"verb","respect","UKUS",0,NA
"20398","classrooms",10,374,3.27,0.007,"noun","classroom","UKUS",0,"class rooms"
"20399","downsizing",10,374,3.27,0.004,"verb","downsize","UKUS",0,"down sizing"
"20400","arithmetic",10,374,3.27,0.007,"noun","arithmetic","UKUS",0,NA
"20401","kidnapping",10,374,3.27,0.006,"noun","kidnapping","UKUS",0,NA
"20402","programmed",10,371,3.266,0.007,"verb","program","UKUS",0,NA
"20403","unbeatable",10,371,3.266,0.007,"adjective","unbeatable","UKUS",0,NA
"20404","fingertips",10,370,3.265,0.007,"noun","fingertip","UKUS",0,"finger tips"
"20405","promotions",10,370,3.265,0.006,"noun","promotion","UKUS",0,NA
"20406","projection",10,369,3.264,0.006,"noun","projection","UKUS",0,NA
"20407","reflective",10,369,3.264,0.007,"adjective","reflective","UKUS",0,NA
"20408","reservoirs",10,368,3.263,0.004,"noun","reservoir","UKUS",0,NA
"20409","unanswered",10,366,3.26,0.007,"adjective","unanswered","UKUS",0,NA
"20410","stereotype",10,365,3.259,0.007,"noun","stereotype","UKUS",0,"stereo type"
"20411","disruptive",10,365,3.259,0.007,"adjective","disruptive","UKUS",0,NA
"20412","dorchester",10,365,3.259,0.004,"name","dorchester","X",0,NA
"20413","abandoning",10,364,3.258,0.008,"verb","abandon","UKUS",0,NA
"20414","engineered",10,364,3.258,0.007,"verb","engineer","UKUS",0,NA
"20415","knighthood",10,364,3.258,0.005,"noun","knighthood","UKUS",0,NA
"20416","deep-fried",10,364,3.258,0.005,"adjective","deep-fried","UK",1,"deep fried"
"20417","disclosure",10,363,3.257,0.006,"noun","disclosure","UKUS",0,NA
"20418","aboriginal",10,362,3.256,0.003,"adjective","aboriginal","UKUS",0,NA
"20419","believable",10,362,3.256,0.007,"adjective","believable","UKUS",0,NA
"20420","scrambling",10,362,3.256,0.006,"verb","scramble","UKUS",0,NA
"20421","dancefloor",10,361,3.254,0.005,"noun","dancefloor","UKUS",0,"dance floor"
"20422","kingfisher",10,361,3.254,0.003,"noun","kingfisher","UKUS",0,"king fisher"
"20423","cultivated",10,361,3.254,0.007,"verb","cultivate","UKUS",0,NA
"20424","multiplied",10,361,3.254,0.007,"verb","multiply","UKUS",0,NA
"20425","fraudulent",10,360,3.253,0.005,"adjective","fraudulent","UKUS",0,NA
"20426","heartbreak",10,359,3.252,0.006,"noun","heartbreak","UKUS",0,"heart break"
"20427","cancelling",10,359,3.252,0.007,"verb","cancel","UKUS",0,NA
"20428","inaccurate",10,359,3.252,0.007,"adjective","inaccurate","UKUS",0,NA
"20429","motorbikes",10,358,3.251,0.006,"noun","motorbike","UKUS",0,"motor bikes"
"20430","compressed",10,358,3.251,0.007,"verb","compress","UKUS",0,NA
"20431","recreation",10,358,3.251,0.007,"noun","recreation","UKUS",0,NA
"20432","grandchild",10,357,3.25,0.006,"noun","grandchild","UKUS",0,"grand child"
"20433","chichester",10,356,3.248,0.004,"name","chichester","X",0,NA
"20434","domination",10,355,3.247,0.007,"noun","domination","UKUS",0,NA
"20435","hereditary",10,355,3.247,0.005,"adjective","hereditary","UKUS",0,NA
"20436","antisocial",10,354,3.246,0.005,"adjective","antisocial","UKUS",0,"anti social"
"20437","eisteddfod",10,354,3.246,0.003,"name","eisteddfod","UKUS",0,NA
"20438","installing",10,354,3.246,0.007,"verb","install","UKUS",0,NA
"20439","unsettling",10,354,3.246,0.007,"adjective","unsettling","UKUS",0,NA
"20440","millimetre",10,353,3.245,0.007,"noun","millimetre","UK",0,NA
"20441","atrocities",10,352,3.244,0.006,"noun","atrocity","UKUS",0,NA
"20442","crimewatch",10,352,3.244,0.005,"name","crimewatch","X",0,NA
"20443","powerhouse",10,351,3.242,0.007,"noun","powerhouse","UKUS",0,"power house"
"20444","attributes",10,350,3.241,0.007,"noun","attribute","UKUS",0,NA
"20445","privileges",10,350,3.241,0.006,"noun","privilege","UKUS",0,NA
"20446","systematic",10,349,3.24,0.007,"adjective","systematic","UKUS",0,NA
"20447","cuttlefish",10,348,3.239,0.002,"noun","cuttlefish","UKUS",0,"cuttle fish"
"20448","woodpecker",10,348,3.239,0.003,"noun","woodpecker","UKUS",0,"wood pecker"
"20449","incomplete",10,348,3.239,0.006,"adjective","incomplete","UKUS",0,NA
"20450","chelmsford",10,348,3.239,0.004,"name","chelmsford","X",0,NA
"20451","heightened",10,347,3.237,0.007,"verb","heighten","UKUS",0,NA
"20452","oppression",10,347,3.237,0.006,"noun","oppression","UKUS",0,NA
"20453","regenerate",10,346,3.236,0.006,"verb","regenerate","UKUS",0,NA
"20454","communists",10,344,3.234,0.005,"name","communists","UKUS",0,NA
"20455","consisting",10,344,3.234,0.007,"verb","consist","UKUS",0,NA
"20456","flourished",10,341,3.23,0.007,"verb","flourish","UKUS",0,NA
"20457","regulating",10,341,3.23,0.006,"verb","regulate","UKUS",0,NA
"20458","littlewood",10,341,3.23,0.004,"name","littlewood","X",0,NA
"20459","indictment",10,340,3.228,0.006,"noun","indictment","UKUS",0,NA
"20460","telephones",10,340,3.228,0.006,"noun","telephone","UKUS",0,NA
"20461","futuristic",10,339,3.227,0.006,"adjective","futuristic","UKUS",0,NA
"20462","stationery",10,338,3.226,0.005,"noun","stationery","UKUS",0,NA
"20463","compliance",10,337,3.225,0.005,"noun","compliance","UKUS",0,NA
"20464","humberside",10,337,3.225,0.004,"name","humberside","X",0,NA
"20465","queensland",10,336,3.223,0.004,"name","queensland","X",0,NA
"20466","irrational",10,335,3.222,0.006,"adjective","irrational","UKUS",0,NA
"20467","williamson",10,335,3.222,0.005,"name","williamson","X",0,NA
"20468","spiralling",10,334,3.221,0.007,"verb","spiral","UK",0,NA
"20469","watertight",10,333,3.219,0.006,"noun","watertight","UKUS",0,"water tight"
"20470","admittedly",10,333,3.219,0.007,"adverb","admittedly","UKUS",0,NA
"20471","allotments",10,332,3.218,0.004,"noun","allotment","UKUS",0,NA
"20472","first-ever",10,332,3.218,0.006,"adjective","first-ever","UK",1,"first ever"
"20473","foreground",10,331,3.217,0.006,"noun","foreground","UKUS",0,"fore ground"
"20474","gooseberry",10,331,3.217,0.003,"noun","gooseberry","UKUS",0,"goose berry"
"20475","advocating",10,330,3.216,0.006,"verb","advocate","UKUS",0,NA
"20476","managerial",10,330,3.216,0.006,"adjective","managerial","UKUS",0,NA
"20477","allocation",10,328,3.213,0.006,"noun","allocation","UKUS",0,NA
"20478","scandalous",10,328,3.213,0.006,"adjective","scandalous","UKUS",0,NA
"20479","triangular",10,328,3.213,0.006,"adjective","triangular","UKUS",0,NA
"20480","panellists",10,327,3.212,0.005,"noun","panellist","UK",0,NA
"20481","associates",10,327,3.212,0.006,"noun","associate","UKUS",0,NA
"20482","plantation",10,327,3.212,0.005,"noun","plantation","UKUS",0,NA
"20483","rutherford",10,327,3.212,0.003,"name","rutherford","X",0,NA
"20484","subsidised",10,326,3.21,0.006,"verb","subsidise","UK",0,NA
"20485","despicable",10,326,3.21,0.006,"adjective","despicable","UKUS",0,NA
"20486","progresses",10,326,3.21,0.007,"verb","progress","UKUS",0,NA
"20487","ready-made",10,326,3.21,0.006,"adjective","ready-made","UK",1,"ready made"
"20488","and-a-half",10,326,3.21,0.007,"noun","and-a-half","UK",1,NA
"20489","underworld",10,325,3.209,0.006,"noun","underworld","UKUS",0,"under world"
"20490","stabilised",10,324,3.208,0.006,"verb","stabilise","UK",0,NA
"20491","administer",10,324,3.208,0.007,"verb","administer","UKUS",0,NA
"20492","economical",10,324,3.208,0.006,"adjective","economical","UKUS",0,NA
"20493","precaution",10,324,3.208,0.007,"noun","precaution","UKUS",0,NA
"20494","christened",10,322,3.205,0.006,"verb","christen","UKUS",0,NA
"20495","gladiators",10,322,3.205,0.004,"noun","gladiator","UKUS",0,NA
"20496","northwards",10,321,3.204,0.006,"adverb","northwards","UKUS",0,"north wards"
"20497","negligence",10,321,3.204,0.005,"noun","negligence","UKUS",0,NA
"20498","indicators",10,320,3.202,0.006,"noun","indicator","UKUS",0,NA
"20499","nutritious",10,320,3.202,0.006,"adjective","nutritious","UKUS",0,NA
"20500","orientated",10,320,3.202,0.007,"verb","orientate","UKUS",0,NA
"20501","sprinkling",10,320,3.202,0.007,"noun","sprinkling","UKUS",0,NA
"20502","invariably",10,319,3.201,0.007,"adverb","invariably","UKUS",0,NA
"20503","pontypridd",10,319,3.201,0.003,"name","pontypridd","X",0,NA
"20504","versailles",10,319,3.201,0.003,"name","versailles","X",0,NA
